# Deployment Sim 8 (Up to date)
# 1848 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Time (s),Altitude (m),Vertical acceleration (m/s²),Dynamic Pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
9.725,643.924,13.3,117.07
9.768,649.686,13.429,118.101
9.818,656.407,13.528,119.301
9.85,660.719,13.506,120.07
9.892,666.441,13.381,121.089
9.942,673.245,13.231,122.301
9.99,679.727,13.186,123.454
10.029,685.176,13.234,124.422
10.079,692.071,13.375,125.645
10.129,699,13.383,126.872
10.175,705.414,13.288,128.007
10.225,712.407,13.214,129.244
10.275,719.432,13.243,130.485
10.325,726.491,13.238,131.729
10.375,733.584,13.208,132.977
10.425,740.709,13.188,134.229
10.475,747.867,13.165,135.486
10.525,755.058,13.151,136.746
10.575,762.282,13.098,138.01
10.625,769.538,13.103,139.278
10.675,776.828,13.129,140.549
10.725,784.15,13.146,141.825
10.775,791.505,13.079,143.103
10.825,798.893,12.983,144.386
10.875,806.313,13.003,145.673
10.925,813.766,13.047,146.962
10.975,821.251,13.063,148.255
11.025,828.769,12.989,149.552
11.075,836.319,12.939,150.852
11.125,843.902,12.913,152.155
11.175,851.517,12.967,153.462
11.225,859.165,12.962,154.77
11.275,866.845,12.84,156.082
11.325,874.557,12.736,157.397
11.373,881.973,12.713,158.659
11.422,889.631,12.829,159.96
11.472,897.436,12.901,161.283
11.505,902.517,12.879,162.142
11.546,909.005,12.708,163.238
11.596,916.89,12.59,164.569
11.632,922.619,12.578,165.533
11.677,929.763,12.698,166.735
11.727,937.731,12.781,168.071
11.762,943.214,12.758,168.989
11.804,950.077,12.583,170.136
11.854,958.126,12.479,171.48
11.886,963.149,12.517,172.317
11.932,970.707,12.628,173.574
11.982,978.836,12.59,174.922
12.032,986.996,12.525,176.274
12.082,995.188,12.447,177.627
12.132,1003.411,12.481,178.987
12.182,1011.665,12.495,180.353
12.232,1019.95,12.424,181.721
12.282,1028.266,12.321,183.091
12.332,1036.613,12.349,184.464
12.382,1044.991,12.462,185.84
12.432,1053.4,12.431,187.216
12.47,1059.791,12.307,188.26
12.52,1068.254,12.204,189.64
12.554,1073.921,12.224,190.563
12.604,1082.435,12.352,191.945
12.641,1088.852,12.324,192.984
12.686,1096.588,12.127,194.234
12.736,1105.184,12.103,195.622
